Time,GeoType,GeoID,Geography,"Age-adjusted rate per 10,000","Estimated annual rate per 10,000",Number
2007,UHF42,211,Williamsburg - Bushwick,204.8,205.9,2998	
2007,UHF42,301,Washington Heights,102.6,103.2,2076	
2007,UHF42,302,Central Harlem - Morningside Heights,305.6,306.7,3836	
2007,UHF42,303,East Harlem,335.6,338.0,2831	
2007,UHF42,304,Upper West Side,54.6,52.5,996	
2007,UHF42,305,Upper East Side,22.0,20.2,386	
2007,UHF42,306,Chelsea - Clinton,49.4,46.2,596	
2007,UHF42,307,Gramercy Park - Murray Hill,44.4,40.3,494	
2007,UHF42,308,Greenwich Village - SoHo,20.1,19.0,143	
2007,UHF42,309,Union Square - Lower East Side,79.9,78.0,1348	
2007,UHF42,310,Lower Manhattan,46.8,48.1,197	
2007,UHF42,401,Long Island City - Astoria,56.3,53.9,946	
2007,UHF42,402,West Queens,36.4,36.2,1348	
2007,UHF42,403,Flushing - Clearview,26.5,26.6,555	
2007,UHF42,404,Bayside - Little Neck,18.7,18.1,127	
2007,UHF42,405,Ridgewood - Forest Hills,29.8,29.3,571	
2007,UHF42,406,Fresh Meadows,43.4,43.3,319	
2007,UHF42,407,Southwest Queens,55.5,55.7,1108	
2007,UHF42,408,Jamaica,74.6,74.9,1597	
2007,UHF42,409,Southeast Queens,55.8,54.5,814	
2007,UHF42,410,Rockaways,91.6,89.5,715	
2007,UHF42,501,Port Richmond,122.5,126.6,610	
2007,UHF42,502,Stapleton - St. George,83.2,82.6,764	
2007,UHF42,503,Willowbrook,36.5,34.8,231	
2007,UHF42,504,South Beach - Tottenville,35.2,34.9,500	
2008,Borough,1,Bronx,220.3,222.9,22140	
2008,Borough,2,Brooklyn,105.4,105.7,20064	
2008,Borough,3,Manhattan,111.3,108.5,14596	
2008,Borough,4,Queens,55.3,55.5,9701	
2008,Borough,5,Staten Island,72.8,72.8,2580	
2008,Citywide,1,New York City,108.5,109.0,69081	
2008,UHF42,101,Kingsbridge - Riverdale,80.3,79.3,576	
2008,UHF42,102,Northeast Bronx,140.7,137.5,1989	
2008,UHF42,103,Fordham - Bronx Pk,189.3,190.4,3439	
2008,UHF42,104,Pelham - Throgs Neck,155.1,156.8,3481	
2008,UHF42,105,Crotona -Tremont,313.7,315.6,4430	
2008,UHF42,106,High Bridge - Morrisania,287.5,291.4,4119	
2008,UHF42,107,Hunts Point - Mott Haven,349.1,353.1,3238	
2008,UHF42,201,Greenpoint,64.9,56.4,543	
2008,UHF42,202,Downtown - Heights - Slope,100.1,94.6,1689	
2008,UHF42,203,Bedford Stuyvesant - Crown Heights,199.8,202.8,4775	
2008,UHF42,204,East New York,191.2,197.9,2556	
2008,UHF42,205,Sunset Park,78.9,75.7,721	
2008,UHF42,206,Borough Park,25.5,25.2,598	
2008,UHF42,207,East Flatbush - Flatbush,114.8,115.7,2626	
2008,UHF42,208,Canarsie - Flatlands,79.9,79.5,1182	
2008,UHF42,209,Bensonhurst - Bay Ridge,22.2,21.9,367	
2008,UHF42,210,Coney Island - Sheepshead Bay,46.2,45.0,1051	
2008,UHF42,211,Williamsburg - Bushwick,225.5,220.8,3282	
2008,UHF42,301,Washington Heights,104.9,104.9,2117	
2008,UHF42,302,Central Harlem - Morningside Heights,322.6,321.8,4079	
2008,UHF42,303,East Harlem,370.4,371.6,3145	
2008,UHF42,304,Upper West Side,66.6,64.9,1230	
2008,UHF42,305,Upper East Side,25.5,23.6,451	
2008,UHF42,306,Chelsea - Clinton,57.6,53.3,698	
2008,UHF42,307,Gramercy Park - Murray Hill,45.4,40.0,494	
2008,UHF42,308,Greenwich Village - SoHo,23.5,21.6,163	
2008,UHF42,309,Union Square - Lower East Side,82.9,79.9,1389	
2008,UHF42,310,Lower Manhattan,49.9,45.8,197	
2008,UHF42,401,Long Island City - Astoria,59.4,56.3,998	
2008,UHF42,402,West Queens,39.6,39.3,1479	
2008,UHF42,403,Flushing - Clearview,26.0,26.3,554	
2008,UHF42,404,Bayside - Little Neck,17.1,17.3,122	
2008,UHF42,405,Ridgewood - Forest Hills,39.5,38.7,761	
2008,UHF42,406,Fresh Meadows,47.7,46.7,348	
2008,UHF42,407,Southwest Queens,61.9,62.5,1252	
2008,UHF42,408,Jamaica,82.7,82.9,1783	
2008,UHF42,409,Southeast Queens,63.7,62.4,936	
2008,UHF42,410,Rockaways,117.3,115.0,932	
2008,UHF42,501,Port Richmond,149.5,154.8,760	
2008,UHF42,502,Stapleton - St. George,104.7,104.9,982	
2008,UHF42,503,Willowbrook,38.9,38.5,257	
2008,UHF42,504,South Beach - Tottenville,35.2,35.0,507	
2009,Borough,1,Bronx,211.8,214.2,21556	
2009,Borough,2,Brooklyn,105.8,106.1,20450	
2009,Borough,3,Manhattan,111.0,107.6,14493	
2009,Borough,4,Queens,59.6,59.9,10602	
2009,Borough,5,Staten Island,80.4,79.5,2843	
2009,Citywide,1,New York City,108.7,109.1,69944	
2009,UHF42,101,Kingsbridge - Riverdale,79.4,78.4,573	
2009,UHF42,102,Northeast Bronx,121.5,120.4,1759	
2009,UHF42,103,Fordham - Bronx Pk,191.8,191.5,3498	
2009,UHF42,104,Pelham - Throgs Neck,154.2,155.8,3494	
2009,UHF42,105,Crotona -Tremont,297.2,300.9,4285	
2009,UHF42,106,High Bridge - Morrisania,267.4,271.9,3919	
2009,UHF42,107,Hunts Point - Mott Haven,340.8,343.6,3220	
2009,UHF42,201,Greenpoint,62.2,55.4,545	
2009,UHF42,202,Downtown - Heights - Slope,87.5,81.4,1476	
2009,UHF42,203,Bedford Stuyvesant - Crown Heights,202.2,204.2,4877	
2009,UHF42,204,East New York,190.3,195.9,2581	
2009,UHF42,205,Sunset Park,81.2,76.3,743	
2009,UHF42,206,Borough Park,28.6,28.3,684	
2009,UHF42,207,East Flatbush - Flatbush,117.8,118.9,2715	
2009,UHF42,208,Canarsie - Flatlands,86.4,85.8,1290	
2009,UHF42,209,Bensonhurst - Bay Ridge,26.9,26.4,451	
2009,UHF42,210,Coney Island - Sheepshead Bay,48.3,47.2,1121	
2009,UHF42,211,Williamsburg - Bushwick,220.1,216.1,3290	
2009,UHF42,301,Washington Heights,100.0,100.0,2006	
2009,UHF42,302,Central Harlem - Morningside Heights,310.4,311.2,3981	
2009,UHF42,303,East Harlem,376.3,375.4,3188	
2009,UHF42,304,Upper West Side,61.2,59.8,1126	
2009,UHF42,305,Upper East Side,22.4,20.7,393	
2009,UHF42,306,Chelsea - Clinton,59.8,56.2,741	
2009,UHF42,307,Gramercy Park - Murray Hill,45.5,40.6,502	
2009,UHF42,308,Greenwich Village - SoHo,21.1,19.6,147	
2009,UHF42,309,Union Square - Lower East Side,91.7,87.6,1524	
2009,UHF42,310,Lower Manhattan,54.5,48.3,216	
2009,UHF42,401,Long Island City - Astoria,58.7,55.2,992	
2009,UHF42,402,West Queens,40.5,39.8,1521	
2009,UHF42,403,Flushing - Clearview,23.4,24.2,516	
2009,UHF42,404,Bayside - Little Neck,23.2,23.3,166	
2009,UHF42,405,Ridgewood - Forest Hills,38.3,37.9,751	
2009,UHF42,406,Fresh Meadows,49.2,48.1,363	
2009,UHF42,407,Southwest Queens,70.1,71.7,1454	
2009,UHF42,408,Jamaica,102.0,102.9,2247	
2009,UHF42,409,Southeast Queens,70.5,68.8,1042	
2009,UHF42,410,Rockaways,110.4,108.0,893	
2009,UHF42,501,Port Richmond,160.9,165.2,824	
